vlocity_cmt__DestinationFieldName__c,vlocity_cmt__DestinationSObjectType__c,Name,vlocity_cmt__SourceFieldName__c,vlocity_cmt__SourceFieldSObjectType__c,vlocity_cmt__SourceFieldType__c,vlocity_cmt__SourceSObjectType__c
vlocity_cmt__PricebookEntryId__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-01,PricebookEntryId,PricebookEntry,reference,OrderItem
vlocity_cmt__AttributesData__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-02,vlocity_cmt__JSONAttribute__c,,textarea,OrderItem
vlocity_cmt__OverageDiscountPrice__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-03,vlocity_cmt__OverageDiscountPrice__c,,currency,OrderItem
vlocity_cmt__OverageUOM__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-04,vlocity_cmt__OverageUOM__c,,picklist,OrderItem
vlocity_cmt__OverageTotal__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-05,vlocity_cmt__OverageTotal__c,,currency,OrderItem
vlocity_cmt__OverageManualDiscount__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-06,vlocity_cmt__OverageManualDiscount__c,,percent,OrderItem
vlocity_cmt__OverageCharge__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-07,vlocity_cmt__OverageCharge__c,,currency,OrderItem
vlocity_cmt__RecurringDiscountPrice__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-08,vlocity_cmt__RecurringDiscountPrice__c,,currency,OrderItem
vlocity_cmt__OneTimeDiscountPrice__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-09,vlocity_cmt__OneTimeDiscountPrice__c,,currency,OrderItem
vlocity_cmt__OneTimeCharge__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-10,vlocity_cmt__OneTimeCharge__c,,currency,OrderItem
vlocity_cmt__ServiceAccountId__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-11,vlocity_cmt__ServiceAccountId__c,Account,reference,OrderItem
vlocity_cmt__SerialNumber__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-12,vlocity_cmt__SerialNumber__c,,string,OrderItem
vlocity_cmt__BillingAccountId__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-13,vlocity_cmt__BillingAccountId__c,Account,reference,OrderItem
vlocity_cmt__EffectiveStartDate__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-14,vlocity_cmt__ConnectDate__c,,datetime,OrderItem
vlocity_cmt__EffectiveEndDate__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-15,vlocity_cmt__DisconnectDate__c,,datetime,OrderItem
vlocity_cmt__OneTimeManualDiscount__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-16,vlocity_cmt__OneTimeManualDiscount__c,,percent,OrderItem
vlocity_cmt__UnitPrice__c,vlocity_cmt__ContractLineItem__c,OrderItem>ContractLineItem-17,UnitPrice,,currency,OrderItem
